Owner,Address,City,County,State,Invitee POC Name,Contact (via FBI),FBI PoC,Title,Email,Phone,Square Footage,Land,Datacenter location verified?,LatLng,FBI Connection Through,Notes,Services,Tenants/CoUsage,NCC ObjectID,TELCO_HOTEL_ID,Floorplan,Power,Fiber,Network POEs,Known Carriers,UPS Redundancy,Generator Redundancy,HVAC Redundancy,Onsite Fuel Capacity,Onsite Water,Known Peers,Compliance,Logo,Wikipedia,Callname,Homepage,Other,
CoreSite Denver (DE1),910 15th st,Denver,,Colorado,,,,,,,"14,000+
120 lbs/sq.ft
24' x24' column spacing",,,"39.745603, -104.995665",,"Located in downtown Denver’s landmark Gas and Electric Building, CoreSite’s DE1 data center is one of two colocation facilities in the Denver market and is  positioned in the center of several key national and regional network fiber plants. ","Colocation, Cloud: CoreSite Open Cloud Exchange, SoftLayer Direct Link, and Google Cloud Platform","CenturyLink, Level3, Akamai, Verison, Gaikai, Softlayer, Yahoo!, Zayo, Apple, Inc., Charter, Microsoft, Dish, Google",,,,"3 DC Plants with 130 kW capacity Multiple Power Feeds, Redundatnt LinesAC/DC","Multiple entry points, redundant fiber-optic loops",,"Carrier Neutral
http://www.coresite.com/resources/resource-library/additional/carrier-list","Yes: N, and 2N
2 Powerware 80 KVA UPS systems, 
3 APC 100 KVA N+1 UPS Systems",N+1,"Building has no HVAC. Tenants have  own closed-loop air conditioning system located on the rooftop. 
",Y: 24 hours,"DE1 has chilled water supplied by Xcel Energy, specifically: N+1 redundancy on CRAHs and chilled water pumps","
CoreSite - Any2 Denver / Formerly RMIX (34 Networks)
https://www.peeringdb.com/fac/389
","HIPAA validated
PCI DSS certified
ISO 27001 certified
SOC1 Type 2 and SOC 2 Type 2 certified",https://upload.wikimedia.org/wikipedia/en/b/bf/CoreSite_logo.png,https://en.wikipedia.org/wiki/CoreSite,,http://www.coresite.com/data-centers/locations/denver,Building offers fire supression,
CoreSite Denver (DE2),639 E 18th Ave,Denver,,Colorado,,,,,,,"5,100+ 
175 lbs/sq. ft.
24' x24' column spacing",,,"39.744857, -104.979089",,"Facility is tethered via dark fiber to CoreSite’s second Denver data center, DE1, which provides customers with access to over 50 national and regional network carriers","Cloud: The CoreSite Open Cloud Exchange
Access to multiple cloud services, such as Google Cloud Platform, SoftLayer Direct Link and the CoreSite Open Cloud Exchange, provide a variety of cloud solutions.
","CenturyLink, Level3, Akamai, Verison, Gaikai, Softlayer, Yahoo!, Zayo, Apple, Inc., Charter, Microsoft, Dish, Google",,,,AC/DC,,,"Carrier Neutral
http://www.coresite.com/resources/resource-library/additional/carrier-list","Y: N, 2N redundancy on UPSs, PDUs, and RPPs",N Redundancy,Dry coolers and condenser water pumps,Y: 24 hours,Dry coolers and condener water pumps,"CoreSite - Any2 Denver / Formerly RMIX

Apple Inc, Riot Games, TDS Telecom","Infrastructure and physical security standards support HIPAA compliance
PCI DSS certified
ISO 27001 certified
SOC 1 Type 2 and SOC 2 Type 2 certified",https://upload.wikimedia.org/wikipedia/en/b/bf/CoreSite_logo.png,https://en.wikipedia.org/wiki/CoreSite,,http://www.coresite.com/data-centers/locations/denver/de2,"Fiber, copper and coaxial cross connects",
ForTrust,4300 Brighton Blvd,Denver,,Colorado,,,,,,,"300,000+",,,"39.745023, -104.979717",,"managed hosting, managed security, managed storage,
consulting / professional services, telecommunication,
data center migration, data analysis, content management, outsourced IT management, hardware procurement, asset management, cabling services
","Colocation: 100 and 200kW @ 2N data modules,
Cloud: Cloud neutral,
Carrier neutral","Etkin Johnson, Blinker, Spotx, Ajubeo, Presilient Worldwide, Wictorops, Lewan, Faction",,,,over 34 MVA of data center capacity. 2N (“A” & “B” side) electrical distribution to critical loads. ,"Multiple carrier fiber facilities and WAN
connectivity options","Secure diverse vaulted underground entrances. No windows in any of the data center, raised floor or critical areas",Carrier and cloud neutral facility,"Multiple 1,000kVA and 750kVA UPS systems in a 2N+1
configuration","2MW and 2.5MW generators in an N+1
configuration",,,"Closed-loop chilled water system; chillers, pumps
and computer room air handling units. Dual path and bi-directional distribution. 36 inch raised floor for optimum cooling. High density cooling in data modules >1000
watt/sq.ft. or 35kW/rack","Faction Inc, Rise Broadband","PCI DSS, Tier III Design, Tier III Facility, Tier III Operations, AICPA SOC, HIPAA compliant",http://www.fortrustdatacenter.com/wp-content/uploads/2015/07/fortrust-logo-white.png,,,http://www.fortrustdatacenter.com/denver-data-center/,,
ViaWest - Denver Wazee,501 Wazee Street,Denver,,Colorado,,,,,,,"6,560 square feet of raised floor capacity",,,"39.744902, -105.012007",,"Telecommunications services available with capacity ranging from T1 to multiple OC192, Ethernet services available from 5 Mbps to multiple 10 Gbps","colocation, cloud,  DRaaS, ","*not sure if this is specific to Denver: Overstock.com, ColorPro, Global DataVault, ZeOmega, StoelRives, Grand Canyon University, Optmal Path, New Belgum, HMS, Documatix, Nexus, LPL Financial, Moroch",,,,"A and B source power circuit delivery capabilities, 480 Volt Utility Power Feed, Automatic power switching
Multiple redundant power distribution paths, multiple redundant power distribution paths","Multiple redundant fiber optic telecommunication networks delivered via Telcordia/
Bellcore standards with diverse conduit and entrance facilities",diverse underground entry points into the Denver data center,carrier-neutral connectivity: 29+ telecommunication carriers  ,2N 900 kVA UPS system capacity,"2,000 gallon diesel fuel supply, generator and diesel fuel infrastructure maintained and under 24x7 surveillance, Redundant battery strings","fully redundant cooling system with 260 tons of capacity, Anti-static raised flooring with designated cable runs and cold air delivery, Hot aisle/cold aisle configuration","2,000 gallon diesel fuel supply",,"Public peering exchange pts: CoreSite - Any2 Denver 
Equinix Chicago
NWAX
private peering facilities:
365 Data Centers Chicago (CH6)
CoreSite - DE1
ViaWest Aloclek (PDX01)*I believe these are the same for the viawest sites - I couldn’t find any differing info","SSAE 16 and ISAE 3402 Service Organization Control (SOC) 1 Type II, SOC 2 Type II, and SOC 3, PCI DSS, HIPAA, FISMA and NIST 800-
53 Standards, adherence to the US-EU Safe Harbor Privacy framework",https://www.viawest.com/sites/default/files/logo_viawest-2x_1.png,,,https://www.viawest.com/data-centers/colorado/wazee-data-center,,
ViaWest - Denver Tech Center (ViaWest Inc.),12500 East Arapahoe Road,Centennial,,Colorado,,,,,,,"21,374 square feet of raised floor capacity",,,"39.594159, -104.843185",,"Private suites and cages, 100% SLA for power, bandwidth and network services availability, Headquartered in Colorado, ViaWest has five data centes around Denver ","Cloud, colocation, compliance services,  DRaaS, and security","Overstock.com, VAIL, Pearson, backcountry.com, Noodles & Company, Family Search, BillTrust, ColorPro Printing, ZeOmega, Global Data Vault, Tomax, Net-Inspect *unclear if all of these clients are hosted in colorado, or in all viawest's overall datacenter set  ",,,,"A and B source power circuit delivery capabilities,  Automatic power switching, Branch circuit monitoring","Multiple redundant fiber optic telecommunication networks delivered via Telcordia/
Bellcore standards with diverse conduit and entrance facilities. Telecommunication services available from T1 to multiple OC192. Ethernet services available from 5 Mbps to multiple 10 Gbps",diverse underground entry points to the data center,29+ telecommunication carriers ensure carrier-neutral connectivity," 2N 2,550 kVA UPS system, multiple redundant power distribution paths, Redundant battery strings with monitoring",,"716 tons of redundant HVAC capacity, Anti-static raised flooring with designed cable runs and cooled air delivery, Hot aisle-cold aisle configuration, Fully cabled for typical customer applications","5,300 gallon diesel fuel supply",,"Public peering exchange pts: CoreSite - Any2 Denver 
Equinix Chicago
NWAX
private peering facilities:
365 Data Centers Chicago (CH6)
CoreSite - DE1
ViaWest Aloclek (PDX01)",ViaWest has a dual-standard SSAE 16 and ISAE 3402 Service Organization Control,https://www.viawest.com/sites/default/files/logo_viawest-2x_1.png,,,https://www.viawest.com/data-centers/colorado/arapahoe-data-center,"24x7 key card access with secondary biometric authentication, Monitored security cameras and intercom system Power delivery, generator and diesel fuel infrastructure maintained in secured areas, Clean agent fire extinguishers placed throughout the facility, Certified data center smoke detection system",
ViaWest- Compark Data Center,8636 S Peoria Street,Englewood,,Colorado,,,,,,,"140,000 square feet of raised floor capacity ",,,"39.558600, -104.838906",,"Designed to be fully redundant and concurrently maintainable, Compark is a high density (700+ Watts/SF) data center. The Compark Data Center features a Power Usage Effectiveness (PUE) of 1.3, among the lowest PUE of any colocation facility. designed to be
concurrently maintainable and fault tolerant.","Cloud, colocation, compliance services,  DRaaS, and security",QAD,,,,"A and B source power circuit delivery capabilities, multiple medium voltage (13.2kV class) utility power feeds from diverse substations. PLC-based fault tolerant closed transition switchboard, Multiple redundant power distribution paths,  Branch circuit monitoring system","Multiple redundant fiber optic telecommunication networks delivered via Telcordia/
Bellcore standards with diverse conduit and entrance facilities. Telecommunication services available from T1 to multiple OC192.  Ethernet services available from 5 Mbps to multiple 10 Gbps",,29+ telecommunication carriers ensure carrier-neutral connectivity,"18 MW redundant, fault tolerant UPS capacity, 18,000 kVA UPS system capacity, Redundant battery strings","29 MW redundant, fault tolerant diesel power generation capacity","The cooling system has 6,000 tons of redundant, fault tolerant capacity and 700+ Watts/SF high
density capacity availability, Highly energy efficient cooling system (1.3 expected PUE).","50,000 gallon diesel fuel",,"Public peering exchange pts: CoreSite - Any2 Denver 
Equinix Chicago
NWAX
private peering facilities:
365 Data Centers Chicago (CH6)
CoreSite - DE1
ViaWest Aloclek (PDX01)*I believe these are the same for the viawest sites - I couldn’t find any differing info","ViaWest has a dual-standard SSAE 16 and ISAE 3402 Service Organization Control
(SOC) 1 Type II, SOC 2 Type II, and SOC 3 reports covering each of ViaWest’s
data centers to include operations, policies and procedures, and physical and
environmental security controls. ViaWest also has facility-specific PCI and HIPAA
compliance reports for physical security and information security policies. ViaWest
enables businesses to become compliant in the Financial, Healthcare and Federal
industries that require regulatory authority of PCI DSS, HIPAA, FISMA, NIST 800-53
and ITAR standards. Additionally, ViaWest annually registers its adherence to the
US-EU Safe Harbor Privacy framework",https://www.viawest.com/sites/default/files/logo_viawest-2x_1.png,,,https://www.viawest.com/data-centers/colorado/compark-data-center,"Certified data center smoke detection system, Certified VESDA incipient smoke detection, Dual-Interlock pre-action dry pipe sprinkler system, Clean agent fire extinguishers placed throughout the facility24x7 key card access with secondary biometric authentication, 5-zone security access, 24x7 on-site security personnel, Monitored security cameras and intercom system, Power delivery, generator and diesel fuel infrastructure maintained in secured areas",
Champa Data Center,1500 Champa Street,Denver,,Colorado,,,,,,,19000 sq ft of data center space,,,"39.745759, -104.994434",,"100% SLA for power, bandwidth and network services availability, 24x7x365 on-site support from engineers with an average tenure of 3+ years, One-stop ViaWest Technical Assistance Center (V-TAC) for remote support

","DRaaS, Interconnection, cloud, colocation, Dr planning",The Digital Ranch,,,,"A and B source power circuit delivery capabilities, 480 Volt Utility Power Feed","Multiple redundant fiber optic telecommunication networks delivered via Telcordia/
Bellcore standards with diverse conduit and entrance facilities, Telecommunications services available with capacity ranging from T1 to multiple
OC192, Ethernet services available from 5 Mbps to multiple 10 Gbps",,29+ telecommunication carriers; carrier-neutral connectivity," 2N redundancy, 1,275 kVA UPS system capacity, Redundant battery strings, Multiple redundant power distribution paths, Branch Circuit Monitoring System","1.25 Megawatt diesel power generation capacity, Automatic power switching","300 tons of redundant cooling capacity, Anti-static raised flooring with designated cable runs and cooled air delivery, Hot aisle/cold aisle configuration, Fully cabled for typical customer applications","4,000 gallon diesel fuel supply",,"Public peering exchange pts: CoreSite - Any2 Denver 
Equinix Chicago
NWAX
private peering facilities:
365 Data Centers Chicago (CH6)
CoreSite - DE1
ViaWest Aloclek (PDX01)*I believe these are the same for the viawest sites - I couldn’t find any differing info","ViaWest has a dual-standard SSAE 16 and ISAE 3402 Service Organization Control
(SOC) 1 Type II, SOC 2 Type II, and SOC 3 reports covering each of ViaWest’s
data centers to include operations, policies and procedures, and physical and
environmental security controls. ViaWest also has facility-specific PCI and HIPAA
compliance reports for physical security and information security policies. ViaWest
enables businesses to become compliant in the Financial, Healthcare and Federal
industries that require regulatory authority of PCI DSS, HIPAA, FISMA, NIST 800-53
and ITAR standards. Additionally, ViaWest annually registers its adherence to the
US-EU Safe Harbor Privacy framework",https://www.viawest.com/sites/default/files/logo_viawest-2x_1.png,,,https://www.viawest.com/data-centers/colorado/champa-data-center,"Certified data center smoke detection system, Certified incipient smoke detection, FM200 chemical gas suppression system, Single interlock pre-action dry pipe sprinkler system, Dry powder fire extinguishers placed throughout the facility. 24x7 access via dual factor authentication, Monitored security cameras and intercom system, Power delivery, generator and diesel fuel infrastructure maintained and under 24x7
surveillance",
1500 Champa - Morgan Reed Group - BUILDING,1500 Champa Street - BUILDING,Denver,,Colorado,,,,,,,"1st Floor = 18,403/sf (fully built out - formerly Teleglobe's Data Center)

1st Floor = 15,000/sf (shell condition)

2nd Floor = 40,000/sf (shell condition)

Sublevel 1 = 18,621/sf (fully built out - formerly MMFN Data Center)",,,"39.745759, -104.994434",,"seems like a shell building, I don’t know if they are housing anyone at the moment","colocation, local exchange carriers, disaster recovery",,,,,"10,000 amps of 480 volt, three phase power.  massive transformer vault ",multiple fiber feeds. Located in a massive fiber optic intersection. Tenants will also have the ability to bring their own fiber into the building,,"carrier neutral - can include o Genuity
o (GTE Internetworking) Aperian
o CO Space InterNAP
o XO/Nextlink Level 3 Communications
o Metromedia Fiber Network Pathnet
o MCI/Worldcom Teleglobe
o Qwest/U.S. West Telseon
o 360 Networks Cogent Communications
o Time Warner Telecom Cbeyond Communications
o Terabeam PF.Net/Velocita
o Yipes LightOne Communications",,  generator farm ,supplemental HVAC,"demised fuel storage tank bays available to place fuel storage tanks in the basement of the building. Each fuel storage tank to have a capacity of up to 12,000 gallons of diesel fuel with special fire rated enclosures.",A building water riser is in place for tenants to tap into for their own wet pre-action fire protection systems,,,,,,,"24/7 on site security. security system is also in place for tenants, with an alarm system monitoring all points of ingress and egress to the building. Floor access is controlled by elevator keypad, which allows tenants the security they require. 24 x 7 closed circuit television monitoring.",
Cornell Data Center,11900 Cornell Avenue,Aurora,,Colorado,,,,,,,"103,269 square feet of raised floor capacity",,,"39.661034, -104.850240",,"The Cornell data center utilizes dual diverse utility power feeds for the
ultimate in redundancy and the most powerful, yet energy efficient
cooling system. This data center also leads the Rocky Mountain region in its utilization of green technology. Through the use of wind energy to generate power and economizers, ViaWest has dramatically reduced its carbon footprint.","DRaaS, Interconnection, cloud, colocation, Dr planning",,,,,"A and B source power circuit delivery capabilities, Dual redundant 6.5 Megawatt power utility deliveries with onsite substations, Multiple redundant power distribution paths, Branch circuit monitoring","Multiple redundant fiber optic telecommunication networks delivered via Telcordia/
Bellcore standards with diverse conduit and entrance facilities, Telecommunication services available from T1 to multiple OC192, Ethernet services available from 5 Mbps to multiple 10 Gbps",,29+ telecommunication carriers; carrier-neutral connectivity,"15,000 kVA UPS system capacity and 2(N+1) redundancy, Redundant battery strings with monitoring","10.4 megawatt diesel power generation capacity, Automatic power switching","3,760 tons of redundant cooling capacity, Anti-static raised flooring, Hot aisle-cold aisle configuration, Fully cabled for typical customer applications",,,"Public peering exchange pts: CoreSite - Any2 Denver 
Equinix Chicago
NWAX
private peering facilities:
365 Data Centers Chicago (CH6)
CoreSite - DE1
ViaWest Aloclek (PDX01)*I believe these are the same for the viawest sites - I couldn’t find any differing info","ViaWest has a dual-standard SSAE 16 and ISAE 3402 Service Organization Control
(SOC) 1 Type II, SOC 2 Type II, and SOC 3 reports covering each of ViaWest’s
data centers to include operations, policies and procedures, and physical and
environmental security controls. ViaWest also has facility-specific PCI and HIPAA
compliance reports for physical security and information security policies. ViaWest
enables businesses to become compliant in the Financial, Healthcare and Federal
industries that require regulatory authority of PCI DSS, HIPAA, FISMA, NIST 800-53
and ITAR standards. Additionally, ViaWest annually registers its adherence to the
US-EU Safe Harbor Privacy framework",https://www.viawest.com/sites/default/files/logo_viawest-2x_1.png,,,https://www.viawest.com/data-centers/colorado/cornell-data-center,"Certified data center smoke detection system, Certified incipient smoke detection, Dual-Interlock pre-action dry pipe sprinkler system, Clean agent fire extinguishers placed throughout the facility24x7 access via dual factor authentication, Monitored security cameras and intercom system, Power delivery, generator and diesel fuel infrastructure maintained in secured areas",
RockyNet Inc. Denver,1050 Seventeenth Street,Denver,,Colorado,,,,,,,,,,"39.748357, -104.994239",,"Geographical Redundancy
Static-Free Raised Flooring. Colocation, cloud, and server management","colocation, cloud, VaaS, managed LAMP, backup and recovery",,,,,,,,, UPS Power Redundancy. UPS will carry the power load of the data center until the generator is ready to maintain the full load. This generally takes three to five seconds. RockyNet has duel UPS to offer true A&B feeds if needed.,Generator Power Redundancy. RockyNet's data center is backed by a 700-gallon Cummins diesel generator. At projected load the generator can operate for up to three days without needing to be refilled. the generator is placed on a top priority list in case of a disaster to have trucks roll to automatically fill it up. ," N+1 Cooling, Multiple redundant 20-ton Liebert HVAC units, supported by redundant power, are strategically placed to create air flow.",3 days of fuel,,,"SSAE-16, HIPAA and PCI compliant facility",http://www.rockynet.com/sites/all/themes/danland/images/new_logo.png,,,http://www.rockynet.com/content/rockynet,,
